"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","05.11.29",583.0,-300.0,-284.0,-103.0,7.0,233.0,53.0,-7.0,-466.0,0.0
"02","05.11.30",-273.0,-75.0,348.0,18.0,12.0,280.0,38.0,-7.0,6.0,0.0
"02","05.12.01",-345.0,376.0,-31.0,-10.0,-11.0,132.0,-1.0,15.0,-157.0,0.0
"02","05.12.02",-323.0,212.0,111.0,-80.0,63.0,314.0,-33.0,11.0,-163.0,0.0
"02","05.12.05",133.0,-70.0,-63.0,-26.0,-12.0,212.0,-129.0,-12.0,-97.0,0.0
"02","05.12.06",-205.0,-50.0,255.0,7.0,-6.0,360.0,-82.0,1.0,-24.0,0.0
"02","05.12.07",770.0,-353.0,-417.0,-92.0,-22.0,-62.0,-100.0,-33.0,-108.0,0.0
"02","05.12.08",346.0,-90.0,-256.0,-27.0,-57.0,78.0,-65.0,-18.0,-166.0,0.0
"02","05.12.09",-356.0,94.0,262.0,-22.0,-32.0,376.0,-50.0,5.0,-15.0,0.0
"02","05.12.12",-155.0,163.0,-8.0,12.0,-86.0,114.0,0.0,4.0,-52.0,0.0
"02","05.12.13",-105.0,86.0,19.0,42.0,-69.0,160.0,-4.0,17.0,-126.0,0.0
"02","05.12.14",119.0,-178.0,59.0,-11.0,-41.0,136.0,-30.0,25.0,-21.0,0.0
"02","05.12.15",99.0,-22.0,-77.0,49.0,-51.0,28.0,-31.0,-18.0,-55.0,0.0
"02","05.12.16",153.0,-159.0,6.0,-26.0,-18.0,55.0,-11.0,-6.0,12.0,0.0
"02","05.12.19",428.0,-196.0,-233.0,-199.0,0.0,43.0,-29.0,15.0,-63.0,0.0
"02","05.12.20",-53.0,15.0,39.0,-95.0,19.0,116.0,-25.0,6.0,18.0,0.0
"02","05.12.21",197.0,-74.0,-124.0,-99.0,58.0,12.0,-3.0,-22.0,-69.0,0.0
"02","05.12.22",219.0,-56.0,-162.0,-123.0,1.0,49.0,-9.0,-13.0,-66.0,0.0
"02","05.12.23",259.0,-107.0,-152.0,60.0,12.0,-76.0,0.0,-5.0,-143.0,0.0
"02","05.12.26",-35.0,26.0,9.0,30.0,19.0,-76.0,-8.0,-17.0,60.0,0.0
"02","05.12.27",-415.0,-144.0,559.0,40.0,-4.0,193.0,-106.0,-5.0,441.0,0.0
"02","05.12.28",227.0,-197.0,-30.0,64.0,20.0,99.0,16.0,14.0,-243.0,0.0
"02","05.12.29",-91.0,-137.0,228.0,-25.0,20.0,291.0,10.0,-9.0,-59.0,0.0
"02","06.01.02",-91.0,-137.0,228.0,-25.0,20.0,291.0,10.0,-9.0,-59.0,0.0
"02","06.01.03",330.0,-186.0,-145.0,38.0,1.0,70.0,-36.0,-40.0,-177.0,0.0
"02","06.01.04",89.0,12.0,-101.0,3.0,75.0,40.0,-32.0,-7.0,-181.0,0.0
"02","06.01.05",195.0,-6.0,-190.0,-48.0,7.0,4.0,2.0,-11.0,-145.0,0.0
"02","06.01.06",-93.0,-274.0,367.0,26.0,44.0,284.0,52.0,8.0,-47.0,0.0
"02","06.01.09",284.0,-306.0,22.0,-47.0,-23.0,228.0,48.0,12.0,-197.0,0.0
"02","06.01.10",357.0,-263.0,-94.0,-94.0,-6.0,49.0,8.0,48.0,-100.0,0.0
"02","06.01.11",565.0,-544.0,-21.0,83.0,11.0,80.0,-6.0,4.0,-191.0,0.0
"02","06.01.12",372.0,-205.0,-168.0,-32.0,-26.0,-31.0,6.0,7.0,-92.0,0.0
"02","06.01.13",-423.0,173.0,249.0,-43.0,41.0,157.0,20.0,20.0,54.0,0.0
"02","06.01.16",-257.0,192.0,65.0,42.0,-26.0,63.0,-52.0,9.0,29.0,0.0
"02","06.01.17",260.0,176.0,-437.0,-92.0,11.0,-76.0,-207.0,-12.0,-61.0,0.0
"02","06.01.18",623.0,-237.0,-385.0,-198.0,-31.0,184.0,-170.0,0.0,-171.0,0.0
"02","06.01.19",605.0,-254.0,-351.0,-31.0,27.0,-207.0,-8.0,21.0,-153.0,0.0
"02","06.01.20",173.0,9.0,-182.0,-72.0,22.0,79.0,-43.0,-2.0,-167.0,0.0
